Servo 1 	 Servo 2 	 Servo 3 	 Servo 4 
  0.440 	   0.440 	   0.500 	   0.480 
  0.440 	   0.440 	   0.500 	   0.490 
  0.440 	   0.440 	   0.500 	   0.500 
  0.450 	   0.440 	   0.500 	   0.500 
  0.460 	   0.440 	   0.500 	   0.500 
  0.470 	   0.440 	   0.500 	   0.500 
  0.480 	   0.440 	   0.500 	   0.500 
  0.490 	   0.440 	   0.500 	   0.500 
  0.500 	   0.440 	   0.500 	   0.500 
  0.500 	   0.450 	   0.500 	   0.500 
  0.500 	   0.460 	   0.500 	   0.500 
  0.500 	   0.470 	   0.500 	   0.500 
  0.500 	   0.480 	   0.500 	   0.500 
  0.500 	   0.490 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.500 
