Servo 1 	 Servo 2 	 Servo 3 	 Servo 4 
  0.440 	   0.440 	   0.620 	   0.330 
  0.440 	   0.440 	   0.610 	   0.330 
  0.440 	   0.440 	   0.600 	   0.330 
  0.440 	   0.440 	   0.590 	   0.330 
  0.440 	   0.440 	   0.580 	   0.330 
  0.440 	   0.440 	   0.570 	   0.330 
  0.440 	   0.440 	   0.560 	   0.330 
  0.440 	   0.440 	   0.550 	   0.330 
  0.440 	   0.440 	   0.540 	   0.330 
  0.440 	   0.440 	   0.530 	   0.330 
  0.440 	   0.440 	   0.520 	   0.330 
  0.440 	   0.440 	   0.510 	   0.330 
  0.440 	   0.440 	   0.500 	   0.330 
  0.440 	   0.440 	   0.490 	   0.330 
  0.440 	   0.440 	   0.500 	   0.330 
  0.440 	   0.440 	   0.500 	   0.360 
  0.440 	   0.440 	   0.500 	   0.370 
  0.440 	   0.440 	   0.500 	   0.380 
  0.440 	   0.440 	   0.500 	   0.390 
  0.440 	   0.440 	   0.500 	   0.400 
  0.440 	   0.440 	   0.500 	   0.410 
  0.440 	   0.440 	   0.500 	   0.420 
  0.440 	   0.440 	   0.500 	   0.430 
  0.440 	   0.440 	   0.500 	   0.440 
  0.440 	   0.440 	   0.500 	   0.450 
  0.440 	   0.440 	   0.500 	   0.460 
  0.440 	   0.440 	   0.500 	   0.470 
  0.440 	   0.440 	   0.500 	   0.480 
  0.440 	   0.440 	   0.500 	   0.490 
  0.440 	   0.440 	   0.500 	   0.500 
  0.450 	   0.440 	   0.500 	   0.500 
  0.460 	   0.440 	   0.500 	   0.500 
  0.470 	   0.440 	   0.500 	   0.500 
  0.480 	   0.440 	   0.500 	   0.500 
  0.490 	   0.440 	   0.500 	   0.500 
  0.500 	   0.440 	   0.500 	   0.500 
  0.500 	   0.450 	   0.500 	   0.500 
  0.500 	   0.460 	   0.500 	   0.500 
  0.500 	   0.470 	   0.500 	   0.500 
  0.500 	   0.480 	   0.500 	   0.500 
  0.500 	   0.490 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.500 
  0.500 	   0.500 	   0.500 	   0.500 
